,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,0,0,0,0,0,0,0,0,90,141,378,179,219,347,253,349,628,823,804,829,785
Albania,598,699,734,889,"1,161","1,290","1,359","1,468","1,866","1,718","1,587","1,552","1,420","1,282","1,421","1,291","1,306","1,312","1,458","1,473","1,386"
Algeria,0,0,0,0,0,170,189,99,104,150,197,203,215,210,"2,452","1,997","1,989","1,792","1,792","1,792","1,643"
American Samoa,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,
Angola,0,0,0,0,0,0,0,0,82,0,18,0,40,37,31,11,4,1,2,3,3
Antigua and Barbuda,17,24,14,16,18,18,19,21,22,21,20,20,21,21,32,31,27,24,25,25,16
Argentina,86,190,207,273,312,432,541,606,705,629,644,697,578,535,505,494,392,480,507,528,496
Armenia,182,209,264,336,788,915,"1,169","1,644","1,904","1,440","1,669","1,799","1,915","2,192","2,079","1,491","1,382","1,539","1,488","1,528","1,143"
Aruba,1,1,1,0,1,1,1,5,7,9,5,5,5,6,7,8,53,56,37,34,59
Australia,"1,904","1,782","1,769","2,325","2,838",940,"1,015","1,342","1,526","1,335","1,864","2,449","2,405","2,389","2,292","2,175","2,057","2,002","1,861","1,754","1,556"
Austria,"2,068","1,799","1,810","1,809","1,809","1,779","1,983","2,498","2,526","3,102","2,983","3,251","3,028","3,262","3,240","2,864","2,888","2,957","3,108","3,045","2,898"
Azerbaijan,57,104,163,156,204,623,790,"1,268","1,518","1,255","1,410","1,893","1,990","1,733","1,846","1,270",643,"1,133","1,226","1,275","1,146"
"Bahamas, The",,,,,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,
Bangladesh,"1,968","2,105","2,858","3,192","3,584","4,315","5,428","6,562","8,941","10,521","10,850","12,071","14,120","13,867","14,988","15,296","13,574","13,502","15,566","18,363","19,758"
Barbados,113,130,125,131,129,94,87,139,101,114,82,147,152,191,189,198,156,108,108,108,94
Belarus,114,67,81,164,239,199,268,288,583,504,575,891,"1,053","1,214","1,231",932,977,"1,254","1,446","1,419","1,312"
Belgium,0,0,"4,535","5,778","6,563","6,884","7,269","8,992","10,479","11,091","10,994","11,729","11,171","11,695","12,161","10,465","10,786","11,435","12,444","12,157","13,122"
Belize,25,28,27,32,34,45,64,73,76,79,78,75,76,74,80,85,97,90,93,97,93
Benin,86,83,76,55,63,147,196,241,208,126,140,172,208,249,305,214,222,196,199,205,195
Bermuda,0,0,0,0,0,0,"1,183","1,450","1,391","1,346","1,261","1,175","1,191","1,225","1,336","1,445","1,446","1,506","1,444","1,605","1,717"
Bhutan,0,0,0,0,0,0,2,3,4,5,8,10,18,12,14,20,34,43,58,57,54
Bolivia,127,135,113,158,211,337,603,"1,055","1,135","1,058",960,"1,043","1,111","1,201","1,177","1,191","1,247","1,408","1,388","1,332","1,209"
Bosnia and Herzegovina,"1,581","1,500","1,496","1,738","2,053","2,038","2,149","2,687","2,718","2,127","1,822","1,958","1,846","1,958","2,107","1,801","1,846","2,017","2,263","2,261","1,607"
Botswana,19,18,19,27,79,118,104,92,47,15,22,20,20,36,46,30,25,36,32,50,43
Brazil,"1,350","1,449","2,004","2,287","2,813","2,805","3,287","3,306","3,643","2,889","3,083","3,215","2,784","2,718","2,648","2,897","2,740","2,699","2,933","3,214","3,358"
Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,0
Bulgaria,58,826,"1,177","1,718","1,723","1,613","1,716","1,694","1,919","1,592","1,333","1,483","1,449","1,667","1,685","1,495","1,666","2,194","2,395","2,342","1,335"
Burkina Faso,0,0,0,0,0,57,68,84,100,96,120,221,210,308,396,385,397,417,456,476,473
Burundi,0,0,0,0,0,0,0,0,4,28,34,45,46,49,56,51,31,34,48,48,46
Cabo Verde,90,81,85,108,113,137,137,139,155,136,131,177,177,176,197,201,211,217,233,236,224
Cambodia,103,113,123,128,147,164,184,186,188,142,557,611,855,"1,003","1,103","1,185","1,200","1,295","1,433","1,525","1,446"
Cameroon,22,17,30,76,104,77,130,168,163,185,115,220,210,244,283,242,269,317,334,334,319
Canada,555,611,635,672,828,934,"1,086","1,177","1,299","1,196","1,199","1,227","1,255","1,337","1,351","1,274","1,289","1,326","1,352","1,365","1,159"
Cayman Islands,,,,,,,,,,,,,,,,,14,16,,,
Central African Republic,,,,,,,,,,,,,,,,,,,,,
Chad,,,,,,,,,,,,,,,,,,,,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,
Chile,13,12,12,,,,,,,52,62,71,72,71,61,59,65,67,70,70,32
China,758,"1,209","2,354","4,620","6,640","23,626","27,565","38,395","47,743","41,600","52,460","61,576","57,987","59,491","62,332","63,938","61,000","63,876","67,414","68,398","59,507"
Colombia,"1,610","2,056","2,480","3,076","3,190","3,346","3,899","4,460","4,827","4,125","4,031","4,101","4,019","4,450","4,166","4,680","4,913","5,546","6,360","6,762","6,491"
Comoros,0,0,0,32,49,54,63,74,101,100,87,108,110,0,160,132,117,132,163,135,129
"Congo, Dem. Rep.",0,0,0,0,0,9,13,9,15,20,16,"1,128",856,"1,001",756,"1,167",593,"1,076","1,823","2,076","1,931"
"Congo, Rep.",10,12,1,12,15,11,13,17,22,34,33,62,68,72,42,30,8,0,0,0,0
Costa Rica,136,198,251,321,320,420,513,618,605,513,531,520,562,596,594,552,545,560,534,553,529
Cote d'Ivoire,0,0,0,0,0,163,167,185,200,316,374,397,367,385,387,336,342,308,332,338,324
Croatia,"1,008","1,133","1,331","1,566","1,874","1,874","1,926","2,229","2,505","2,269","2,287","2,524","2,085","2,174","2,617","2,521","3,022","3,430","3,808","4,033","3,652"
Cuba,,,,,,,,,,,,,,,,,,,,, 
Curacao,0,0,0,0,0,0,0,0,0,0,0,150,136,133,143,142,148,160,155,176,183
Cyprus,45,78,21,32,77,105,105,142,949,593,862,741,601,431,323,298,392,428,498,497,571
Czech Republic,294,256,333,494,"1,222","1,341","1,603","1,827","1,134","1,196","1,229","1,394","1,409","1,738","2,628","2,675","3,126","3,585","3,936","3,860","4,204"
Denmark,667,699,785,941,"1,075",666,740,823,"1,052","1,019",925,"1,150","1,182","1,371","1,483","1,258","1,247","1,314","1,376","1,339","1,280"
Djibouti,12,12,15,25,25,26,28,29,30,32,33,32,33,40,38,40,40,41,60,59,56
Dominica,14,14,14,15,20,22,22,22,23,22,23,23,23,24,51,56,44,44,49,49,47
Dominican Republic,"1,839","1,982","2,194","2,325","2,501","2,719","3,054","3,397","3,606","3,415","3,887","4,241","4,262","4,486","4,810","5,196","5,508","6,178","6,814","7,421","7,940"
Ecuador,"1,322","1,421","1,438","1,633","1,838","2,460","2,934","3,341","3,089","2,742","2,599","2,681","2,476","2,459","2,472","2,388","2,612","2,849","3,039","3,243","2,818"
"Egypt, Arab Rep.","2,852","2,911","2,893","2,961","3,341","5,017","5,330","7,656","8,694","7,150","12,453","14,324","19,236","17,833","19,570","18,325","18,590","24,737","25,516","26,781","24,381"
El Salvador,"1,764","1,924","1,953","2,121","2,563","3,029","3,483","3,709","3,755","3,402","3,472","3,644","3,914","3,966","4,160","4,275","4,562","4,996","5,388","5,656","5,486"
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,
Eritrea,3,,,,,,,,,,,,,,,,,,,,
Estonia,4,11,19,42,155,255,392,381,416,340,357,439,461,565,544,457,486,505,570,543,517
Eswatini,57,53,44,65,83,95,96,95,90,93,55,64,89,75,96,96,98,144,126,119,98
Ethiopia,53,18,33,46,134,174,172,358,387,262,436,538,624,833,"1,796","1,087",772,393,436,531,504
Faeroe Islands,43,39,40,44,49,80,89,109,137,139,146,158,,,,,,,,,
Fiji,43,78,99,124,173,203,205,183,147,171,176,161,191,204,221,251,269,274,285,287,273
Finland,473,491,477,526,667,692,715,806,959,866,894,756,862,973,907,865,862,911,950,901,834
France,"8,870","9,194","10,599","12,232","13,343","14,205","15,535","17,586","20,086","19,665","19,898","22,942","22,666","24,412","25,358","24,067","24,042","24,885","26,879","26,838","25,318"
French Polynesia,0,0,408,509,598,557,622,689,763,728,651,722,633,672,660,564,582,582,582,582,581
Gabon,6,5,3,6,7,11,0,14,21,14,38,22,23,17,29,18,18,18,18,18,18
"Gambia, The",0,0,0,54,61,59,64,56,65,80,116,91,106,110,138,136,207,228,204,275,261
Georgia,206,219,226,248,359,446,627,883,"1,065","1,112","1,184","1,547","1,770","1,945","1,986","1,459","1,521","1,794","2,034","2,258","1,926"
Germany,"3,604","3,883","4,654","5,748","6,516","6,864","7,484","9,767","10,974","12,345","12,789","15,337","14,637","16,396","17,075","15,578","15,198","15,800","17,024","16,474","15,025"
Ghana,32,46,44,65,82,99,105,117,126,114,136,"2,135","2,155","1,864","2,008","4,982","2,980","3,536","3,521","3,521","3,213"
Greece,"2,194","2,015","1,660","1,565","1,243","1,220","1,543","2,483","2,687","2,022","1,499","1,187",681,805,735,509,417,401,490,676,575
Greenland,,,,,,,,,,,,,,,,,,,,, 
Grenada,24,24,25,25,48,27,28,29,29,28,28,29,29,30,41,43,45,47,48,48,46
Guam,,,,,,,,,,,,,,,,,,,,, 
Guatemala,596,634,"1,600","2,147","2,628","3,067","3,700","4,236","4,426","4,002","4,225","4,533","4,965","5,304","5,751","6,482","7,363","8,394","9,438","10,656","10,762"
Guinea,1,9,15,111,42,42,30,15,62,52,46,65,66,93,121,131,52,45,28,158,151
Guinea-Bissau,0,10,18,23,28,20,26,43,49,49,46,52,46,64,92,85,56,105,128,131,123
Guyana,27,22,51,99,153,201,218,278,274,262,368,412,469,328,330,303,269,322,334,334,317
Haiti,578,624,676,811,932,986,"1,063","1,222","1,370","1,376","1,474","1,551","1,612","1,781","1,977","2,196","2,359","2,722","3,142","3,274","3,111"
Honduras,474,610,801,865,"1,169","1,805","2,358","2,614","2,821","2,477","2,618","2,811","2,920","3,098","3,370","3,666","3,864","4,323","4,777","5,401","5,185"
"Hong Kong SAR, China",136,153,121,120,240,297,294,317,355,348,340,352,367,360,372,387,399,437,425,451,335
Hungary,363,364,444,467,633,732,859,976,"1,312","1,575","1,850","2,305","3,148","4,160","4,203","3,954","4,171","4,124","4,392","4,710","3,735"
Iceland,36,39,65,49,61,66,80,110,120,94,135,151,153,203,212,213,204,186,171,182,160
India,"12,883","14,273","15,736","20,999","18,750","22,125","28,334","37,217","49,977","49,204","53,480","62,499","68,821","69,970","70,389","68,910","62,744","68,967","78,790","83,332","75,916"
Indonesia,"1,190","1,046","1,259","1,489","1,866","5,420","5,722","6,174","6,794","6,793","6,916","6,924","7,212","7,614","8,551","9,659","8,907","8,990","11,215","11,666","9,835"
"Iran, Islamic Rep.",536,682,851,"1,178","1,032","1,032","1,032","1,115","1,115","1,072","1,181","1,330","1,330","1,330","1,330","1,330","1,330","1,330","1,330","1,330","1,264"
Iraq,0,0,0,0,0,711,389,3,71,152,177,223,271,727,729,"1,005",986,"1,089",742,859,815
Ireland,0,0,0,0,0,512,539,589,633,573,658,756,695,722,726,604,575,597,624,587,474
Isle of Man,,,,,,,,,,,,,,,,,,,,, 
Israel,400,499,410,423,715,"3,736","3,680","4,402","4,535","4,619","4,740","5,074","4,680","5,687","6,185","5,889","6,362","6,194","5,829","6,051","5,418"
Italy,"1,790","1,932","2,273","3,023","3,689","4,092","4,076","4,595","7,355","7,041","7,975","8,731","9,166","9,436","10,099","9,609","9,514","9,742","9,950","10,459","10,646"
Jamaica,878,"1,047","1,242","1,380","1,601","1,762","1,924","2,122","2,157","1,889","2,026","2,106","2,168","2,172","2,269","2,361","2,433","2,463","2,502","2,574","2,703"
Japan,773,"1,250","1,127",811,774,905,"1,177","1,384","1,732","1,595","1,684","2,132","2,540","2,364","3,734","3,325","3,830","4,443","4,369","4,374","4,189"
Jordan,"1,845","2,011","2,135","2,201","2,287","2,421","2,794","3,326","3,510","3,465","3,623","3,684","3,848","5,343","6,370","5,348","4,375","4,432","4,472","4,389","3,863"
Kazakhstan,68,85,111,42,57,62,84,143,126,198,226,180,283,341,401,294,384,560,618,506,458
Kenya,0,51,57,66,376,425,570,645,667,631,686,934,"1,211","1,304","1,441","1,569","1,745","1,962","2,720","2,838","2,918"
Kiribati,0,0,0,0,0,0,13,14,14,14,16,17,18,17,16,14,16,18,20,20,19
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,, 
"Korea, Rep.","4,524","4,516","5,135","5,875","5,935","5,200","4,850","5,155","6,978","6,000","5,854","6,602","6,589","6,475","6,574","6,464","6,524","6,526","7,125","7,374","7,495"
Kosovo,0,0,0,0,622,702,771,920,"1,047","1,056","1,007",993,946,"1,058","1,099",971,986,"1,112","1,236","1,249","1,212"
Kuwait,0,0,0,0,0,0,0,0,0,0,5,6,3,4,4,34,4,23,28,26,5
Kyrgyz Republic,2,5,30,70,179,313,473,704,"1,223",982,"1,266","1,709","2,031","2,278","2,243","1,688","1,995","2,486","2,689","2,411","1,875"
Lao PDR,1,1,1,1,1,1,4,6,18,38,42,110,203,170,188,189,189,243,239,285,271
Latvia,252,274,113,158,219,379,480,550,"1,920","1,587","1,257","1,506","1,499","1,604","1,553","1,336","1,235","1,274","1,237","1,143","1,076"
Lebanon,0,0,"2,544","4,743","5,591","4,924","5,202","5,769","7,181","7,558","6,914","6,878","6,671","7,567","7,191","7,481","7,606","7,062","6,978","7,410","6,918"
Lesotho,478,401,389,557,627,599,614,638,576,548,610,649,555,463,393,371,454,550,544,495,398
Liberia,0,0,0,0,58,32,79,62,58,25,294,523,547,413,512,654,580,403,460,301,290
Libya,9,10,7,8,10,15,16,,,,,,,,,,,,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,
Lithuania,50,79,109,115,578,745,994,"1,433","1,565","1,240","1,673","1,955","1,507","2,060","2,113","1,373","1,280","1,303","1,387","1,304","1,145"
Luxembourg,579,577,771,977,"1,112","1,189","1,294","1,479","1,662","1,676","1,670","1,811","1,718","1,922","1,859","1,653","1,717","1,883","2,063","2,006","2,000"
"Macao SAR, China",0,0,47,48,53,53,55,54,52,48,47,48,47,49,37,40,28,25,23,22,7
Madagascar,11,11,29,16,12,102,150,254,314,284,456,335,330,358,344,327,299,343,426,433,416
Malawi,1,1,1,14,18,23,15,21,17,17,22,25,28,34,38,41,39,78,181,217,189
Malaysia,342,367,435,571,802,"1,117","1,365","1,556","1,329","1,131","1,103","1,211","1,294","1,423","1,580","1,644","1,604","1,649","1,686","1,659","1,410"
Maldives,2,2,2,2,3,2,3,8,6,5,3,3,3,3,3,4,4,4,4,4,4
Mali,73,88,138,154,155,177,212,344,431,454,473,784,827,895,920,817,827,883,"1,022","1,034",987
Malta,17,13,21,26,319,222,209,229,264,260,230,227,200,246,253,274,249,269,276,263,239
Marshall Islands,0,0,0,0,0,24,26,25,23,24,22,22,23,25,26,27,28,30,31,31,30
Mauritania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,60,64,61
Mauritius,177,215,215,215,215,215,215,215,215,211,226,249,249,249,327,224,194,250,245,319,301
Mexico,"7,525","10,146","11,029","16,654","19,862","22,742","26,543","26,880","26,041","22,076","22,080","23,446","23,209","23,189","24,802","26,233","28,691","32,271","35,768","39,022","40,508"
"Micronesia, Fed. Sts.",,,,,,,,,,17,18,19,21,22,23,23,23,23,23,23,23
Moldova,178,242,323,484,701,915,"1,176","1,491","1,888","1,352","1,753","1,813","1,986","2,192","2,076","1,540","1,467","1,638","1,838","1,910","1,699"
Monaco,,,,,,,,,,,,,,,,,,,,, 
Mongolia,1,27,69,79,203,177,155,178,225,200,266,250,324,257,255,261,260,273,441,561,536
Montenegro,0,0,0,0,0,0,0,196,298,303,416,510,508,545,543,470,481,523,589,584,547
Morocco,"2,161","3,261","2,877","3,614","4,221","4,589","5,451","6,730","6,894","6,269","6,423","7,256","6,508","6,882","7,789","6,904","6,383","6,823","6,919","6,735","6,382"
Mozambique,0,0,0,0,0,59,80,99,116,111,116,130,174,152,155,143,93,258,296,300,219
Myanmar,102,116,105,84,117,129,115,81,55,54,115,127,275,"1,644","1,864","2,005","2,346","2,578","2,840","2,400","2,229"
Namibia,9,8,8,12,15,17,16,16,14,77,69,79,80,64,81,47,66,48,54,61,51
Nepal,111,147,678,771,823,"1,212","1,453","1,734","2,727","2,983","3,464","4,217","4,793","5,584","5,889","6,730","6,612","6,928","8,294","8,250","7,392"
Netherlands,426,483,484,"1,121","1,298","1,259","1,553","1,630","1,649","1,713","1,720","1,789","1,640","1,619","1,483","2,298","2,160","2,226","2,476","2,396","2,128"
New Caledonia,0,0,333,448,493,512,537,491,544,509,492,594,715,724,721,613,621,621,621,621,620
New Zealand,215,0,233,290,322,352,335,384,421,331,371,455,462,459,0,0,0,465,453,434,432
Nicaragua,320,336,377,439,519,616,698,740,820,770,825,914,"1,016","1,081","1,140","1,198","1,268","1,395","1,505","1,686","1,619"
Niger,14,22,19,26,60,66,78,79,94,102,134,166,152,146,219,172,176,264,297,320,312
Nigeria,"1,392","1,167","1,209","1,063","2,273","14,640","16,932","18,014","19,200","18,371","19,745","20,617","20,543","20,797","20,999","20,626","19,698","22,037","24,311","23,809","20,971"
North Macedonia,81,73,106,174,213,227,267,345,407,381,388,434,394,376,367,307,291,314,344,317,305
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,, 
Norway,270,279,333,392,465,505,529,617,685,631,680,765,767,791,760,609,594,616,644,616,556
Oman,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,35
Pakistan,"1,075","1,461","3,554","3,964","3,945","4,280","5,121","5,998","7,039","8,717","9,690","12,263","14,007","14,629","17,244","19,306","19,819","19,856","21,193","22,245","24,136"
Palau,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Panama,16,73,85,107,109,130,301,355,378,337,410,368,411,461,756,554,503,533,538,581,593
Papua New Guinea,0,0,6,7,10,7,4,8,7,5,4,12,14,14,10,4,3,4,4,3,2
Paraguay,152,140,99,110,132,161,336,341,363,377,410,541,634,623,507,554,657,704,683,666,589
Peru,718,753,705,869,"1,133","1,440","1,837","2,131","2,444","2,409","2,534","2,697","2,788","2,707","2,637","2,725","2,884","3,051","3,225","3,326","2,393"
Philippines,"6,924","8,760","9,735","10,239","11,468","13,733","15,496","16,437","18,851","19,960","21,557","23,054","24,610","26,717","28,691","29,799","31,142","32,810","33,809","35,167","33,339"
Poland,"1,496","1,563","1,685","2,284","4,724","6,471","8,486","10,468","10,475","8,174","7,712","7,768","7,041","7,457","7,468","6,835","6,764","6,933","7,112","6,497","5,488"
Portugal,"3,496","3,647","2,927","3,040","3,303","3,061","3,485","4,161","4,288","3,789","3,726","3,922","3,991","4,455","4,446","4,378","4,433","4,498","4,512","4,327","3,860"
Puerto Rico,,,,,,,,,,,,,,,,,,,,, 
Qatar,0,0,0,0,0,0,0,0,0,0,0,574,803,574,499,437,379,666,467,577,611
Romania,96,116,143,124,131,952,"1,160","1,624","1,702",682,641,694,733,"4,806","5,084","5,391","5,930","6,556","6,984","7,692","5,954"
Russian Federation,500,986,936,"1,114","2,207","3,437","3,820","4,666","5,737","5,105","5,250","6,103","5,788","6,751","7,777","6,903","6,689","8,235","9,287","10,432","8,782"
Rwanda,0,0,0,0,0,0,0,0,0,0,107,174,182,170,184,159,173,215,261,261,244
Samoa,0,0,0,0,1,82,87,97,109,119,139,160,156,161,139,130,130,136,147,147,141
San Marino,,,,,,,,,,,,,,,,,,,,, 
Sao Tome and Principe,0,1,1,2,1,2,2,2,3,2,6,7,6,27,27,20,18,18,18,11,10
Saudi Arabia,0,0,0,0,0,94,106,123,216,214,236,244,246,269,273,295,308,291,335,334,287
Senegal,234,305,346,512,634,789,926,"1,193","1,482","1,356","1,479","1,616","1,576","1,778","1,932","1,758","1,981","2,149","2,428","2,522","2,286"
Serbia,0,0,0,0,0,0,0,"3,764","3,545","4,650","4,117","3,961","3,546","4,025","3,696","3,370","3,205","3,590","4,446","4,238","3,428"
Seychelles,3,2,2,5,7,12,13,5,3,16,17,25,18,13,15,18,22,22,23,24,19
Sierra Leone,7,6,22,26,25,2,16,42,23,36,44,59,65,70,62,48,47,48,62,62,59
Singapore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
Sint Maarten (Dutch part),0,0,0,0,0,0,0,0,0,0,0,54,56,73,62,55,61,55,51,48,45
Slovak Republic,18,22,24,425,703,"1,211","1,343","1,662","2,050","1,672","1,591","1,754","1,927","2,072","2,396","2,138","2,120","2,164","2,211","2,087","1,674"
Slovenia,202,198,213,231,261,261,279,320,380,173,164,210,249,314,373,400,452,502,579,611,534
Solomon Islands,4,5,3,4,9,7,11,13,9,13,14,17,21,21,16,19,20,16,20,25,24
Somalia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,325,282,268,391,468,614,692,792,784,862,"1,070","1,158","1,085",971,913,825,755,874,929,890,840
South Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"1,139","1,083",634,"1,267","1,267","1,189"
Spain,"4,862","5,099","5,584","6,568","7,540","6,662","7,353","8,963","9,742","8,584","8,707","9,676","9,724","10,666","10,761","10,304","10,263","10,635","10,986","9,975","8,927"
Sri Lanka,"1,154","1,170","1,296","1,423","1,574","1,976","2,167","2,507","2,925","3,337","4,123","5,153","6,000","6,422","7,036","7,000","7,262","7,190","7,043","6,749","6,681"
St. Kitts and Nevis,24,25,25,27,28,30,33,36,40,39,47,45,51,52,22,24,23,25,26,26,23
St. Lucia,24,24,25,25,26,27,28,29,29,28,29,29,30,30,35,41,38,42,43,43,41
St. Martin (French part),,,,,,,,,,,,,,,,,,,,, 
St. Vincent and the Grenadines,19,19,20,21,21,22,26,29,27,29,29,29,31,32,44,42,45,46,47,47,44
Sudan,641,740,978,"1,224","1,403",704,801,"1,000","1,591","1,394","1,456",824,596,620,507,151,153,213,425,425,370
Suriname,0,0,0,0,0,4,2,3,2,5,4,4,8,7,9,7,1,1,1,1,1
Sweden,438,578,512,"1,357","1,596","1,812","2,245","3,205","4,095","3,968","4,061","4,385","4,293","4,592","4,558","3,364","2,888","2,958","3,074","3,185","3,225"
Switzerland,995,"1,176","1,225","1,533","1,695","1,721","1,795","1,796","2,215","2,342","2,495","2,615","2,420","2,437","2,406","2,517","2,524","2,592","2,566","2,524","2,439"
Syrian Arab Republic,180,170,135,889,855,823,795,"1,030","1,325","1,350","1,623","1,623","1,623","1,623","1,623","1,623","1,623","1,623","1,623","1,623","1,486"
Tajikistan,0,0,79,146,252,564,976,"1,514","2,278","1,566","2,021","2,722","3,222","3,698","3,384","2,259","1,867","2,237","2,183","2,322","2,066"
Tanzania,8,15,12,9,14,19,15,25,37,40,344,410,390,382,389,388,403,403,413,435,410
Thailand,"1,697","1,252","1,380","1,607","1,622","1,187","1,333","1,635","1,898","3,808","4,433","5,256","5,657","6,585","6,524","5,895","6,270","6,720","7,466","7,077","6,086"
Timor-Leste,0,0,0,0,0,0,4,10,18,113,137,137,120,34,44,62,80,87,96,100,96
Togo,34,69,104,149,179,193,232,285,338,336,337,244,345,397,428,364,367,404,451,458,441
Tonga,0,53,62,59,65,69,78,82,103,82,74,84,91,123,119,129,126,159,183,183,176
Trinidad and Tobago,38,41,79,87,87,92,91,109,95,109,91,162,139,145,145,155,145,135,139,143,108
Tunisia,796,927,"1,070","1,250","1,431","1,393","1,510","1,716","1,977","1,964","2,063","2,004","2,266","2,291","2,347","1,971","1,821","1,890","1,902","2,050","1,747"
Turkey,"4,560","2,786","1,936",729,804,"1,368","1,833","2,096","2,439","1,834","1,819","1,883","1,881","1,901","1,739","1,395","1,186","1,048","1,122",810,745
Turkmenistan,,,,,,,14,30,50,34,35,35,37,40,30,16,9,4,2,1,1
Turks and Caicos Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,7,8,7,7,7
Tuvalu,0,4,7,5,5,5,4,6,6,5,4,5,4,4,,,,,,,
Uganda,238,349,442,299,311,322,411,452,724,781,771,816,913,941,888,902,"1,146","1,166","1,338","1,425","1,353"
Ukraine,419,829,"1,192","1,523","1,873","2,408","3,102","5,290","6,782","5,941","6,535","7,822","8,449","9,667","7,354","8,474","9,472","12,132","14,694","15,788","13,736"
United Arab Emirates,,,,,,,,,,,,,,,,,,,,, 
United Kingdom,"5,074","4,956","5,235","5,689","5,938","6,045","6,106","6,556","5,995","5,243","4,951","5,099","4,945","4,805","4,936","5,003","4,582","4,309","4,390","4,072","3,109"
United States,"4,395","4,513","4,570","4,672","4,734","4,795","5,068","5,219","5,364","5,740","5,930","6,104","6,303","6,613","6,503","6,578","6,330","6,347","6,651","6,724","6,384"
Uruguay,0,0,36,62,70,77,89,96,108,101,125,129,92,93,92,85,85,98,104,102,66
Uzbekistan,,,,,,,898,"1,693","3,007","2,071","2,858","4,276","5,693","6,689","5,653","3,062","2,462","3,374","3,689","4,150","3,320"
Vanuatu,14,18,4,4,5,5,5,6,9,11,12,22,22,24,64,104,81,26,35,35,34
"Venezuela, RB",17,19,19,208,143,148,165,151,137,132,143,138,118,120,128,161,279,279,279,279,279
Vietnam,"1,340","1,100","1,770","2,100","2,310","3,150","3,800","6,180","6,805","6,020","8,260","8,600","10,000","11,000","12,000","13,000","14,000","15,000","16,000","17,000","15,686"
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,, 
West Bank and Gaza,864,806,772,310,399,378,464,599,741,755,927,"1,142","1,737","1,489","1,805","1,817","2,087","2,379","2,834","2,861","2,289"
"Yemen, Rep.","1,290","1,300","1,290","1,270","1,280","1,283","1,283","1,322","1,411","1,160","1,526","1,404","3,351","3,343","3,351","3,351","3,771","3,771","3,771","3,771","3,771"
Zambia,0,0,0,36,48,53,58,59,68,41,44,46,73,54,58,47,38,94,107,98,91
Zimbabwe,0,0,0,0,0,0,0,0,0,"1,206","1,413","1,919","2,114","1,890","1,904","2,047","1,856","1,730","1,730","1,730","1,730"
